Term,Stamm,Sprache,Zeitraum
ನಿಘಂಟು,निघण्टु,Sanskrit,1500 BCE - present (liturgical/classical)
ಇಂಗ್ಲಿಷ್,English,English,1550 CE - present
ಕನ್ನಡ,ಕಱೆ,Kannada,450 CE - present
ಕನ್ನಡ,ನಾಡು,Kannada,450 CE - present
ಒಂದು,*onṯu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ಮನೆ,*manay,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ನಾಯಿ,ನಾಯ್,Old Kannada,450 CE - 1200 CE
ನಾಯಿ,*naH-ay,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ಕಣ್ಣು,*kaṇ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ಆರು,ಆಱು,Old Kannada,450 CE - 1200 CE
ಆರು,*cāṯu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ಜನ,ಜನ,Old Kannada,450 CE - 1200 CE
ಜನ,जन,Sanskrit,1500 BCE - present (liturgical/classical)
ಕುರ್ಚಿ,कुरसी,Hindi,not available
ಕುರ್ಚಿ,كُرْسِيّ,Arabic,600 CE - present
ಭಸ್ಮ,भस्म,Sanskrit,1500 BCE - present (liturgical/classical)
ಮೇಣ,मदन,Sanskrit,1500 BCE - present (liturgical/classical)
ಹಾವು,*pāmpu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ಸಿಂಹ,सिंह,Sanskrit,1500 BCE - present (liturgical/classical)
ಅರಣ್ಯ,अरण्य,Sanskrit,1500 BCE - present (liturgical/classical)
ಕಫ,कफ,Sanskrit,1500 BCE - present (liturgical/classical)
ಕೋಶ,कोश,Sanskrit,1500 BCE - present (liturgical/classical)
ದಿನ,दिन,Sanskrit,1500 BCE - present (liturgical/classical)
ದೀರ್ಘ,दीर्घ,Sanskrit,1500 BCE - present (liturgical/classical)
ಕಂಠ,कण्ठ,Sanskrit,1500 BCE - present (liturgical/classical)
ಅಗ್ನಿ,अग्नि,Sanskrit,1500 BCE - present (liturgical/classical)
ಘೂಕ,घूक,Sanskrit,1500 BCE - present (liturgical/classical)
ಚಂದ್ರ,चन्द्र,Sanskrit,1500 BCE - present (liturgical/classical)
ದುಗ್ಧ,दुग्ध,Sanskrit,1500 BCE - present (liturgical/classical)
ನಾಗ,नाग,Sanskrit,1500 BCE - present (liturgical/classical)
ಪಲಂಕಷ,पलंकष,Sanskrit,1500 BCE - present (liturgical/classical)
ಹಾಲು,*pāl(u),Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ಸಂಸ್ಕೃತ,संस्कृत,Sanskrit,1500 BCE - present (liturgical/classical)
ನೀರು,*nīr,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
