Term,Stamm,Sprache,Zeitraum
विश्व,*wíśwas,Proto-Indo-Aryan,2000 BCE - 1500 BCE
विश्व,*wíćwas,Proto-Indo-Iranian,2200 BCE - 1800 BCE
विश्व,*(h₁)wiḱ-wo-s,Proto-Indo-European,4500 BCE - 2500 BCE
आ,*HáH,Proto-Indo-Iranian,2200 BCE - 1800 BCE
आ,*h₂éd,Proto-Indo-European,4500 BCE - 2500 BCE
इ,*Hay-,Proto-Indo-Aryan,2000 BCE - 1500 BCE
इ,*Hay-,Proto-Indo-Iranian,2200 BCE - 1800 BCE
इ,*h₁ey-,Proto-Indo-European,4500 BCE - 2500 BCE
ऋ,*h₃er-,Proto-Indo-European,4500 BCE - 2500 BCE
घ,*gʰe,Proto-Indo-European,4500 BCE - 2500 BCE
क,*kás,Proto-Indo-Aryan,2000 BCE - 1500 BCE
क,*kás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
क,*kʷós,Proto-Indo-European,4500 BCE - 2500 BCE
ग,*gás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
ज,*ȷ́ás,Proto-Indo-Aryan,2000 BCE - 1500 BCE
ज,*ȷ́ás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
ज,*ǵenh₁-,Proto-Indo-European,4500 BCE - 2500 BCE
च,*-ća,Proto-Indo-Aryan,2000 BCE - 1500 BCE
च,*-ča,Proto-Indo-Iranian,2200 BCE - 1800 BCE
च,*-kʷe,Proto-Indo-European,4500 BCE - 2500 BCE
न,*ná,Proto-Indo-Aryan,2000 BCE - 1500 BCE
न,*ná,Proto-Indo-Iranian,2200 BCE - 1800 BCE
न,*ne,Proto-Indo-European,4500 BCE - 2500 BCE
साम्य,*somHós,Proto-Indo-European,4500 BCE - 2500 BCE
बुद्ध,*buddʰás,Proto-Indo-Aryan,2000 BCE - 1500 BCE
बुद्ध,*bʰudᶻdʰás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
बुद्ध,*bʰudʰtós,Proto-Indo-European,4500 BCE - 2500 BCE
वृक्ष,*wr̥ćšás,Proto-Indo-Iranian,2200 BCE - 1800 BCE
तृण,*tŕ̥nam,Proto-Indo-Aryan,2000 BCE - 1500 BCE
तृण,*tŕ̥nam,Proto-Indo-Iranian,2200 BCE - 1800 BCE
तृण,*tr̥nós,Proto-Indo-European,4500 BCE - 2500 BCE
स्निह्,*sneygʷʰ-,Proto-Indo-European,4500 BCE - 2500 BCE
वच्,*wekʷ-,Proto-Indo-European,4500 BCE - 2500 BCE
आसन,*Hā́stay,Proto-Indo-Aryan,2000 BCE - 1500 BCE
