Term,Stamm,Sprache,Zeitraum
அக்கா,*akka-,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
அங்கம்,अङ्ग,Sanskrit,1500 BCE - present (liturgical/classical)
பங்களா,बंगला,Hindi,not available
புலி,𑀧𑀼𑀮𑀺,Old Tamil,300 BCE - 700 CE
புலி,*puli,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
நாடு,𑀦𑀸𑀝𑀷𑁆,Old Tamil,300 BCE - 700 CE
நாடு,*nāṭu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
தேசம்,देश,Sanskrit,1500 BCE - present (liturgical/classical)
குரு,गुरु,Sanskrit,1500 BCE - present (liturgical/classical)
கோடி,*kōḍ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
கோடி,कोटि,Sanskrit,1500 BCE - present (liturgical/classical)
கோடி,*kōṇ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
தமிழ்நாடு,தமிழ்,Tamil,300 BCE - present
தமிழ்நாடு,நாடு,Tamil,300 BCE - present
லட்சம்,लक्ष,Sanskrit,1500 BCE - present (liturgical/classical)
காபி,kahve,Turkish,not available
காபி,قهوة,Arabic,600 CE - present
முஸ்லிம்,مُسْلِم,Arabic,600 CE - present
இந்தியா,India,English,1550 CE - present
நான்,*yāṉ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
நான்,नान,Hindi,not available
நான்,نان,Persian,1000 CE - present
தாயகம்,தாய்,Tamil,300 BCE - present
தாயகம்,அகம்,Tamil,300 BCE - present
நூலகம்,நூல்,Tamil,300 BCE - present
நூலகம்,அகம்,Tamil,300 BCE - present
இயங்குதளம்,இயங்கு,Tamil,300 BCE - present
இயங்குதளம்,தளம்,Tamil,300 BCE - present
கடவுள்,கட,Tamil,300 BCE - present
கடவுள்,உள்,Tamil,300 BCE - present
ஆரம்,हार,Sanskrit,1500 BCE - present (liturgical/classical)
களை,कला,Sanskrit,1500 BCE - present (liturgical/classical)
ஆடு,*yāṭu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
இரு,*iru,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
