Term,Stamm,Sprache,Zeitraum
టాక్సీ,taxi,English,1550 CE - present
తెలుగు,*teṉ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
తెలుగు,*ceḷ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
పందికొక్కు,పంది,Telugu,600 CE - present
పందికొక్కు,కొక్కు,Telugu,600 CE - present
అమ్మ,*amma,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
జనవరి,January,English,1550 CE - present
రోజు,روز,Classical Persian,800 CE - 1900 CE
ఫిబ్రవరి,February,English,1550 CE - present
భాష,भाषा,Sanskrit,1500 BCE - present (liturgical/classical)
విమానము,विमान,Sanskrit,1500 BCE - present (liturgical/classical)
అనువాదము,अनुवाद,Sanskrit,1500 BCE - present (liturgical/classical)
నాలుగు,*nāl,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
పువ్వు,*pū,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
పుష్పము,पुष्प,Sanskrit,1500 BCE - present (liturgical/classical)
పొద్దుతిరుగుడు,పొద్దు,Telugu,600 CE - present
పొద్దుతిరుగుడు,తిరుగుడు,Telugu,600 CE - present
సీతాకోకచిలుక,సీత,Telugu,600 CE - present
సీతాకోకచిలుక,కోక,Telugu,600 CE - present
సీతాకోకచిలుక,చిలుక,Telugu,600 CE - present
నది,नदी,Sanskrit,1500 BCE - present (liturgical/classical)
గూడు,*kūṭu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
పంది,*panṯi,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ధనుస్సు,धनुष,Sanskrit,1500 BCE - present (liturgical/classical)
విల్లు,*wil,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
వరి,*wariñci,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
చక్రము,चक्र,Sanskrit,1500 BCE - present (liturgical/classical)
ఊపిరితిత్తి,ఊపిరి,Telugu,600 CE - present
ఊపిరితిత్తి,తిత్తి,Telugu,600 CE - present
ఏడు,*ēẓu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ఎనిమిది,*eṇ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
పది,*paHtu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
తొమ్మిది,*toṇ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ఆరు,*cāṯu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ఐదు,*caymtu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
మూడు,*mūnṯu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
రెండు,*ir-,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
గుంటనక్క,గుంట,Telugu,600 CE - present
గుంటనక్క,నక్క,Telugu,600 CE - present
మూషికము,मूषिक,Sanskrit,1500 BCE - present (liturgical/classical)
ముష్టి,मुष्टि,Sanskrit,1500 BCE - present (liturgical/classical)
పొన్ను,*pon,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
వేరు,*wēr,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
అపానము,अपान,Sanskrit,1500 BCE - present (liturgical/classical)
ఆశ,आशा,Sanskrit,1500 BCE - present (liturgical/classical)
ఏడాది,ఏడు,Telugu,600 CE - present
ఏడాది,ఆది,Telugu,600 CE - present
నేను,*yāṉ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
కాకి,*kākkai,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
తేనెటీగ,తేనె,Telugu,600 CE - present
తేనెటీగ,ఈగ,Telugu,600 CE - present
తైలము,तैल,Sanskrit,1500 BCE - present (liturgical/classical)
తేలు,*tēḷ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
దివసము,दिवस,Sanskrit,1500 BCE - present (liturgical/classical)
చిలుక,*kiḷi,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
మరమేకు,మర,Telugu,600 CE - present
మరమేకు,మేకు,Telugu,600 CE - present
కస్తూరిపిల్లి,కస్తూరి,Telugu,600 CE - present
కస్తూరిపిల్లి,పిల్లి,Telugu,600 CE - present
కవి,कवि,Sanskrit,1500 BCE - present (liturgical/classical)
ఆలు,*āḷ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ఆలు,ఆవులు,Telugu,600 CE - present
ఆలు,آلو,Urdu,not available
తంతి,तन्त्री,Sanskrit,1500 BCE - present (liturgical/classical)
నాటకము,नाटक,Sanskrit,1500 BCE - present (liturgical/classical)
తండ్రి,*tantay,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
తండ్రి,*tanṯi,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
పాలు,*pāl(u),Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
అక్క,*akka-,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
మ్రాను,*maram,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
వంకాయ,వంగ,Telugu,600 CE - present
వంకాయ,కాయ,Telugu,600 CE - present
నీరు,*nīr,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
రంగు,रङ्ग,Sanskrit,1500 BCE - present (liturgical/classical)
నెత్తురు,*neyttVr,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
రక్తము,रक्त,Sanskrit,1500 BCE - present (liturgical/classical)
మణి,मणि,Sanskrit,1500 BCE - present (liturgical/classical)
పుట్టుమచ్చ,పుట్టు,Telugu,600 CE - present
పుట్టుమచ్చ,మచ్చ,Telugu,600 CE - present
ద్వారము,द्वार,Sanskrit,1500 BCE - present (liturgical/classical)
చిరుతపులి,చిరుత,Telugu,600 CE - present
చిరుతపులి,పులి,Telugu,600 CE - present
అధికారము,अधिकार,Sanskrit,1500 BCE - present (liturgical/classical)
ఓడ,*cōṭam,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
సేన,सेना,Sanskrit,1500 BCE - present (liturgical/classical)
ఓడరేవు,ఓడ,Telugu,600 CE - present
ఓడరేవు,రేవు,Telugu,600 CE - present
అగ్ని,अग्नि,Sanskrit,1500 BCE - present (liturgical/classical)
తార,तारक,Sanskrit,1500 BCE - present (liturgical/classical)
కోడిపెట్ట,కోడి,Telugu,600 CE - present
కోడిపెట్ట,పెట్ట,Telugu,600 CE - present
పిల్లి,*pill-V-,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
చుక్క,*cukk-V,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ఆత్మ,आत्मन्,Sanskrit,1500 BCE - present (liturgical/classical)
ద్వీపము,द्वीप,Sanskrit,1500 BCE - present (liturgical/classical)
ఆసుపత్రి,hospital,Portuguese,1516 CE - present
గోవు,गो,Sanskrit,1500 BCE - present (liturgical/classical)
గోవు,*gʷōws,Proto-Indo-European,4500 BCE - 2500 BCE
వస్తువు,वस्तु,Sanskrit,1500 BCE - present (liturgical/classical)
గ్రామీణ,ग्रामीण,Sanskrit,1500 BCE - present (liturgical/classical)
కండబలం,కండ,Telugu,600 CE - present
కండబలం,బలం,Telugu,600 CE - present
లత,लता,Sanskrit,1500 BCE - present (liturgical/classical)
పాము,*pāmpu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
కన్య,कन्या,Sanskrit,1500 BCE - present (liturgical/classical)
సముద్రం,समुद्र,Sanskrit,1500 BCE - present (liturgical/classical)
కోడిపుంజు,కోడి,Telugu,600 CE - present
కోడిపుంజు,పుంజు,Telugu,600 CE - present
చెల్లి,*cēl-āḷ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
అందము,*am-ta,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ఉల్లి,*uḷḷi,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
కన్ను,*kaṇ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
కన్నీరు,కన్ను,Telugu,600 CE - present
కన్నీరు,నీరు,Telugu,600 CE - present
అందమైన,అందము,Telugu,600 CE - present
అందమైన,మైన,Telugu,600 CE - present
హంస,हंस,Sanskrit,1500 BCE - present (liturgical/classical)
నేత్రము,नेत्र,Sanskrit,1500 BCE - present (liturgical/classical)
మెదడు,*metVẓ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
స్త్రీ,स्त्री,Sanskrit,1500 BCE - present (liturgical/classical)
ముష్టియుద్ధము,ముష్టి,Telugu,600 CE - present
ముష్టియుద్ధము,యుద్ధము,Telugu,600 CE - present
గుహ,गुहा,Sanskrit,1500 BCE - present (liturgical/classical)
మాత్ర,मात्र,Sanskrit,1500 BCE - present (liturgical/classical)
స్నేహము,स्नेह,Sanskrit,1500 BCE - present (liturgical/classical)
స్నేహితుడు,स्नेहित,Sanskrit,1500 BCE - present (liturgical/classical)
నెల,*nelanc(c)-,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ఇక్కడ,ఈ,Telugu,600 CE - present
ఇక్కడ,కడ,Telugu,600 CE - present
కోట,कोट,Sanskrit,1500 BCE - present (liturgical/classical)
చెవి,chave,Portuguese,1516 CE - present
ముఖము,मुख,Sanskrit,1500 BCE - present (liturgical/classical)
నాభి,नाभि,Sanskrit,1500 BCE - present (liturgical/classical)
మూత్రము,मूत्र,Sanskrit,1500 BCE - present (liturgical/classical)
యోని,योनि,Sanskrit,1500 BCE - present (liturgical/classical)
ద్వారపాలకుడు,द्वारपालक,Sanskrit,1500 BCE - present (liturgical/classical)
కథ,कथा,Sanskrit,1500 BCE - present (liturgical/classical)
భారత దేశము,భారత,Telugu,600 CE - present
భారత దేశము,దేశము,Telugu,600 CE - present
న్యూయార్క్,New York,English,1550 CE - present
దక్షిణ అమెరికా,दक्षिण,Sanskrit,1500 BCE - present (liturgical/classical)
ఆసియా,Ἀσίᾱ,Ancient Greek,1500 BCE - 300 BCE
ఆస్ట్రేలియా,Australia,English,1550 CE - present
జిల్లా,ज़िला,Hindi,not available
బీహార్,विहार,Sanskrit,1500 BCE - present (liturgical/classical)
మణిపూర్,मणिपूर,Sanskrit,1500 BCE - present (liturgical/classical)
మహారాష్ట్ర,महाराष्ट्र,Sanskrit,1500 BCE - present (liturgical/classical)
పశ్చిమ బెంగాల్,పశ్చిమ,Telugu,600 CE - present
పశ్చిమ బెంగాల్,బెంగాల్,Telugu,600 CE - present
బెంగాల్,বাংলা,Bengali,not available
షాంఘై,Shanghai,English,1550 CE - present
షాంఘై,上海,Mandarin,not available
కంబోడియా,Cambodge,French,1600 CE - present
సింగపూర్,Singapore,English,1550 CE - present
విష్ణు,विष्णु,Sanskrit,1500 BCE - present (liturgical/classical)
సీత,सीता,Sanskrit,1500 BCE - present (liturgical/classical)
రక్తనాళము,రక్త,Telugu,600 CE - present
రక్తనాళము,నాళము,Telugu,600 CE - present
ఆభరణము,आभरण,Sanskrit,1500 BCE - present (liturgical/classical)
తొడ ఎముక,తొడ,Telugu,600 CE - present
తొడ ఎముక,ఎముక,Telugu,600 CE - present
దేవాలయము,దేవ,Telugu,600 CE - present
దేవాలయము,ఆలయము,Telugu,600 CE - present
ఐశ్వర్యము,ईश्वर,Sanskrit,1500 BCE - present (liturgical/classical)
జ్వాల,ज्वाल,Sanskrit,1500 BCE - present (liturgical/classical)
సమరము,समर,Sanskrit,1500 BCE - present (liturgical/classical)
ఆసియా ఏనుగు,ఆసియా,Telugu,600 CE - present
ఆసియా ఏనుగు,ఏనుగు,Telugu,600 CE - present
హక్కు,हक़,Hindi,not available
హక్కు,حق,Urdu,not available
హక్కు,حق,Persian,1000 CE - present
హక్కు,حَقّ,Arabic,600 CE - present
రతి,रति,Sanskrit,1500 BCE - present (liturgical/classical)
రణరంగము,రణము,Telugu,600 CE - present
రణరంగము,రంగము,Telugu,600 CE - present
రచన,रचन,Sanskrit,1500 BCE - present (liturgical/classical)
మైథునము,मैथुन,Sanskrit,1500 BCE - present (liturgical/classical)
కోణము,कोण,Sanskrit,1500 BCE - present (liturgical/classical)
మూలము,मूल,Sanskrit,1500 BCE - present (liturgical/classical)
మార్చి,March,English,1550 CE - present
ఏప్రిల్,April,English,1550 CE - present
జూన్,June,English,1550 CE - present
మే,May,English,1550 CE - present
జూలై,July,English,1550 CE - present
ఆగష్టు,August,English,1550 CE - present
సెప్టెంబర్,September,English,1550 CE - present
అక్టోబర్,October,English,1550 CE - present
నవంబర్,November,English,1550 CE - present
డిసెంబర్,December,English,1550 CE - present
లక్ష్మి,लक्ष्मी,Sanskrit,1500 BCE - present (liturgical/classical)
క్షీరము,क्षीर,Sanskrit,1500 BCE - present (liturgical/classical)
సరస్వతి,सरस्वती,Sanskrit,1500 BCE - present (liturgical/classical)
కళ,कला,Sanskrit,1500 BCE - present (liturgical/classical)
సోమవారము,సోమ,Telugu,600 CE - present
సోమవారము,వారము,Telugu,600 CE - present
బుధవారము,బుధ,Telugu,600 CE - present
బుధవారము,వారము,Telugu,600 CE - present
మంగళవారము,మంగళ,Telugu,600 CE - present
మంగళవారము,వారము,Telugu,600 CE - present
